Minutes,Seconds,Temp (?C),Pressure (hPa),Altitude (m)
0,5,28.33,1014.74,-12.43
0,6,28.33,1014.74,-12.41
0,6,28.33,1014.74,-12.41
0,6,28.33,1014.74,-12.37
0,6,28.33,1014.74,-12.38
0,6,28.33,1014.74,-12.38
0,6,28.34,1014.75,-12.44
0,6,28.33,1014.74,-12.4
0,6,28.34,1014.74,-12.37
0,6,28.34,1014.74,-12.31
0,6,28.34,1014.73,-12.35
0,6,28.34,1014.73,-12.33
0,6,28.34,1014.73,-12.33
0,6,28.34,1014.73,-12.32
0,6,28.35,1014.73,-12.3
0,6,28.35,1014.73,-12.3
0,6,28.35,1014.73,-12.3
0,6,28.35,1014.72,-12.27
0,6,28.35,1014.72,-12.31
0,6,28.35,1014.73,-12.31
0,6,28.35,1014.73,-12.35
0,6,28.35,1014.73,-12.4
0,6,28.35,1014.74,-12.4
0,6,28.34,1014.74,-12.39
0,6,28.34,1014.74,-12.45
0,6,28.34,1014.75,-12.45
0,6,28.33,1014.74,-12.39
0,6,28.33,1014.74,-12.47
0,6,28.33,1014.75,-12.47
0,6,28.32,1014.75,-12.51
0,6,28.32,1014.75,-12.46
0,6,28.32,1014.75,-12.46
0,6,28.32,1014.75,-12.45
0,6,28.32,1014.75,-12.45
0,6,28.32,1014.75,-12.45
0,6,28.32,1014.74,-12.43
0,6,28.32,1014.74,-12.4
0,6,28.33,1014.74,-12.4
0,6,28.33,1014.75,-12.46
0,6,28.33,1014.75,-12.45
0,6,28.33,1014.75,-12.45
0,6,28.33,1014.75,-12.47
0,6,28.33,1014.75,-12.47
0,6,28.33,1014.75,-12.47
0,6,28.33,1014.75,-12.43
0,6,28.33,1014.74,-12.48
0,7,28.34,1014.75,-12.48
0,7,28.34,1014.75,-12.5
0,7,28.34,1014.75,-12.54
0,7,28.34,1014.76,-12.54
0,7,28.34,1014.76,-12.59
0,7,28.34,1014.76,-12.51
0,7,28.34,1014.75,-12.51
0,7,28.34,1014.75,-12.5
0,7,28.34,1014.75,-12.48
0,7,28.34,1014.75,-12.48
0,7,28.34,1014.75,-12.5
0,7,28.34,1014.75,-12.49
0,7,28.34,1014.75,-12.41
0,7,28.34,1014.74,-12.41
0,7,28.34,1014.74,-12.43
0,7,28.34,1014.74,-12.45
0,7,28.35,1014.75,-12.45
0,7,28.35,1014.74,-12.4
0,7,28.35,1014.74,-12.34
0,7,28.35,1014.73,-12.34
0,7,28.35,1014.74,-12.42
0,7,28.35,1014.74,-12.46
0,7,28.35,1014.75,-12.46
0,7,28.35,1014.75,-12.44
0,7,28.35,1014.75,-12.47
0,7,28.35,1014.75,-12.47
0,7,28.35,1014.75,-12.44
0,7,28.35,1014.74,-12.39
0,7,28.35,1014.74,-12.39
0,7,28.35,1014.74,-12.42
0,7,28.35,1014.74,-12.42
0,7,28.35,1014.74,-12.43
0,7,28.35,1014.74,-12.41
0,7,28.35,1014.74,-12.41
0,7,28.35,1014.74,-12.37
0,7,28.35,1014.74,-12.36
0,7,28.35,1014.74,-12.38
0,7,28.35,1014.74,-12.38
0,7,28.35,1014.73,-12.32
0,7,28.35,1014.73,-12.33
0,7,28.35,1014.73,-12.33
0,7,28.35,1014.74,-12.36
0,7,28.35,1014.74,-12.37
0,7,28.35,1014.74,-12.41
0,7,28.35,1014.74,-12.41
0,7,28.35,1014.74,-12.47
0,7,28.35,1014.75,-12.47
0,7,28.35,1014.75,-12.46
0,8,28.35,1014.74,-12.36
0,8,28.35,1014.74,-12.36
0,8,28.35,1014.74,-12.36
0,8,28.35,1014.75,-12.47
0,8,28.35,1014.75,-12.51
0,8,28.35,1014.75,-12.52
0,8,28.36,1014.76,-12.52
0,8,28.36,1014.75,-12.5
0,8,28.36,1014.75,-12.43
0,8,28.36,1014.74,-12.43
0,8,28.36,1014.74,-12.38
0,8,28.36,1014.74,-12.41
0,8,28.36,1014.74,-12.39
0,8,28.36,1014.74,-12.39
0,8,28.36,1014.74,-12.43
0,8,28.36,1014.74,-12.42
0,8,28.36,1014.74,-12.41
0,8,28.36,1014.74,-12.41
0,8,28.36,1014.74,-12.43
0,8,28.36,1014.74,-12.42
0,8,28.36,1014.74,-12.39
0,8,28.36,1014.74,-12.39
0,8,28.36,1014.75,-12.47
0,8,28.36,1014.75,-12.45
0,8,28.36,1014.75,-12.41
0,8,28.36,1014.74,-12.45
0,8,28.37,1014.75,-12.45
0,8,28.37,1014.74,-12.37
0,8,28.37,1014.74,-12.39
0,8,28.37,1014.74,-12.37
0,8,28.37,1014.74,-12.37
0,8,28.37,1014.73,-12.36
0,8,28.37,1014.73,-12.34
0,8,28.37,1014.73,-12.34
0,8,28.37,1014.73,-12.31
0,8,28.37,1014.73,-12.31
0,8,28.37,1014.73,-12.36
0,8,28.37,1014.73,-12.36
0,8,28.37,1014.74,-12.37
0,8,28.37,1014.74,-12.34
0,8,28.37,1014.73,-12.34
0,8,28.37,1014.73,-12.32
0,8,28.37,1014.73,-12.24
0,8,28.37,1014.72,-12.24
0,8,28.37,1014.72,-12.25
0,8,28.37,1014.73,-12.31
0,8,28.37,1014.73,-12.32
0,9,28.37,1014.73,-12.32
0,9,28.37,1014.74,-12.4
0,9,28.37,1014.74,-12.43
0,9,28.37,1014.74,-12.43
0,9,28.37,1014.74,-12.43
0,9,28.37,1014.74,-12.42
0,9,28.37,1014.74,-12.36
0,9,28.37,1014.74,-12.36
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.33
0,9,28.37,1014.73,-12.33
0,9,28.37,1014.74,-12.4
0,9,28.37,1014.74,-12.43
0,9,28.37,1014.74,-12.43
0,9,28.37,1014.74,-12.42
0,9,28.37,1014.74,-12.38
0,9,28.37,1014.74,-12.38
0,9,28.37,1014.74,-12.38
0,9,28.37,1014.74,-12.38
0,9,28.37,1014.73,-12.34
0,9,28.37,1014.73,-12.34
0,9,28.37,1014.73,-12.34
0,9,28.37,1014.74,-12.37
0,9,28.37,1014.73,-12.35
0,9,28.37,1014.73,-12.4
0,9,28.37,1014.74,-12.4
0,9,28.37,1014.75,-12.47
0,9,28.37,1014.75,-12.47
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.35
0,9,28.37,1014.73,-12.35
0,9,28.37,1014.73,-12.37
0,9,28.37,1014.74,-12.37
0,9,28.37,1014.74,-12.36
0,9,28.37,1014.74,-12.32
0,9,28.37,1014.73,-12.34
0,9,28.37,1014.73,-12.34
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.38
0,9,28.37,1014.74,-12.42
0,9,28.37,1014.74,-12.42
0,9,28.37,1014.74,-12.39
0,9,28.37,1014.74,-12.35
0,9,28.37,1014.73,-12.35
0,9,28.37,1014.74,-12.37
0,10,28.37,1014.74,-12.37
0,10,28.37,1014.74,-12.37
0,10,28.37,1014.73,-12.35
0,10,28.37,1014.73,-12.35
0,10,28.37,1014.73,-12.35
0,10,28.37,1014.74,-12.43
0,10,28.37,1014.74,-12.39
0,10,28.37,1014.74,-12.39
0,10,28.37,1014.74,-12.39
0,10,28.37,1014.75,-12.45
0,10,28.37,1014.75,-12.41
0,10,28.37,1014.74,-12.41
0,10,28.37,1014.73,-12.35
0,10,28.38,1014.73,-12.35
0,10,28.38,1014.73,-12.35
0,10,28.38,1014.73,-12.35
0,10,28.38,1014.73,-12.33
0,10,28.38,1014.72,-12.21
0,10,28.38,1014.72,-12.21
0,10,28.38,1014.72,-12.21
0,10,28.38,1014.72,-12.25
0,10,28.38,1014.73,-12.3
0,10,28.38,1014.73,-12.31
0,10,28.38,1014.73,-12.31
0,10,28.38,1014.73,-12.33
0,10,28.38,1014.73,-12.3
0,10,28.38,1014.73,-12.3
0,10,28.38,1014.73,-12.3
0,10,28.38,1014.73,-12.32
0,10,28.38,1014.73,-12.32
0,10,28.38,1014.73,-12.33
0,10,28.38,1014.73,-12.3
0,10,28.37,1014.73,-12.3
0,10,28.37,1014.73,-12.34
0,10,28.37,1014.73,-12.39
0,10,28.37,1014.74,-12.39
0,10,28.37,1014.73,-12.33
0,10,28.37,1014.73,-12.29
0,10,28.37,1014.73,-12.29
0,10,28.37,1014.73,-12.34
0,10,28.37,1014.73,-12.33
0,10,28.37,1014.73,-12.33
0,10,28.37,1014.73,-12.33
0,10,28.37,1014.73,-12.36
0,10,28.37,1014.73,-12.36
0,10,28.37,1014.74,-12.38
0,10,28.37,1014.74,-12.34
0,10,28.37,1014.73,-12.34
0,11,28.37,1014.74,-12.38
0,11,28.37,1014.74,-12.41
0,11,28.37,1014.74,-12.41
0,11,28.37,1014.74,-12.4
0,11,28.37,1014.74,-12.36
0,11,28.37,1014.74,-12.36
0,11,28.37,1014.74,-12.36
0,11,28.37,1014.74,-12.41
0,11,28.37,1014.74,-12.43
0,11,28.37,1014.74,-12.43
0,11,28.37,1014.74,-12.41
0,11,28.38,1014.74,-12.41
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.37
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.43
0,11,28.38,1014.74,-12.43
0,11,28.38,1014.73,-12.32
0,11,28.38,1014.73,-12.38
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.73,-12.33
0,11,28.38,1014.73,-12.36
0,11,28.38,1014.74,-12.36
0,11,28.38,1014.73,-12.31
0,11,28.38,1014.73,-12.37
0,11,28.38,1014.74,-12.3
0,11,28.38,1014.73,-12.3
0,11,28.38,1014.72,-12.22
0,11,28.38,1014.73,-12.29
0,11,28.38,1014.73,-12.31
0,11,28.38,1014.73,-12.31
0,11,28.38,1014.73,-12.28
0,11,28.38,1014.73,-12.24
0,11,28.38,1014.72,-12.24
0,11,28.38,1014.73,-12.35
0,11,28.38,1014.73,-12.36
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.38
0,11,28.38,1014.74,-12.36
0,11,28.38,1014.74,-12.39
0,11,28.39,1014.74,-12.39
0,11,28.39,1014.74,-12.39
0,11,28.39,1014.74,-12.34
0,11,28.39,1014.73,-12.34
0,11,28.39,1014.73,-12.33
0,12,28.39,1014.73,-12.35
0,12,28.39,1014.73,-12.35
0,12,28.38,1014.73,-12.34
0,12,28.38,1014.73,-12.31
0,12,28.38,1014.73,-12.31
0,12,28.38,1014.73,-12.32
0,12,28.38,1014.74,-12.37
0,12,28.38,1014.74,-12.36
0,12,28.39,1014.74,-12.36
0,12,28.39,1014.74,-12.38
0,12,28.39,1014.74,-12.36
0,12,28.39,1014.74,-12.36
0,12,28.39,1014.74,-12.39
0,12,28.39,1014.74,-12.38
0,12,28.39,1014.74,-12.38
0,12,28.39,1014.75,-12.44
0,12,28.39,1014.75,-12.41
0,12,28.39,1014.74,-12.41
0,12,28.39,1014.73,-12.33
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.34
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.32
0,12,28.39,1014.73,-12.35
0,12,28.39,1014.73,-12.35
0,12,28.39,1014.73,-12.35
0,12,28.39,1014.73,-12.3
0,12,28.39,1014.73,-12.29
0,12,28.39,1014.73,-12.29
0,12,28.39,1014.72,-12.24
0,12,28.39,1014.72,-12.24
0,12,28.39,1014.72,-12.21
0,12,28.39,1014.72,-12.21
0,12,28.39,1014.72,-12.22
0,12,28.39,1014.72,-12.26
0,12,28.39,1014.72,-12.26
0,12,28.39,1014.73,-12.34
0,12,28.39,1014.73,-12.34
0,12,28.39,1014.73,-12.28
0,12,28.39,1014.73,-12.31
0,12,28.39,1014.73,-12.31
0,12,28.39,1014.73,-12.28
0,12,28.39,1014.72,-12.25
0,12,28.39,1014.72,-12.25
0,12,28.39,1014.73,-12.3
0,13,28.39,1014.73,-12.3
0,13,28.39,1014.73,-12.29
0,13,28.39,1014.73,-12.29
0,13,28.39,1014.73,-12.33
0,13,28.39,1014.73,-12.31
0,13,28.39,1014.73,-12.29
0,13,28.39,1014.73,-12.29
0,13,28.39,1014.73,-12.34
0,13,28.4,1014.73,-12.29
0,13,28.4,1014.73,-12.29
0,13,28.4,1014.73,-12.34
0,13,28.4,1014.73,-12.34
0,13,28.4,1014.73,-12.34
0,13,28.4,1014.73,-12.28
0,13,28.4,1014.73,-12.24
0,13,28.4,1014.72,-12.24
0,13,28.4,1014.73,-12.29
0,13,28.4,1014.73,-12.22
0,13,28.4,1014.72,-12.22
0,13,28.4,1014.72,-12.23
0,13,28.4,1014.72,-12.24
0,13,28.4,1014.72,-12.24
0,13,28.4,1014.72,-12.25
0,13,28.4,1014.72,-12.24
0,13,28.4,1014.72,-12.24
0,13,28.4,1014.73,-12.29
0,13,28.4,1014.73,-12.25
0,13,28.4,1014.72,-12.25
0,13,28.39,1014.72,-12.22
0,13,28.39,1014.72,-12.2
0,13,28.39,1014.72,-12.2
0,13,28.4,1014.72,-12.26
0,13,28.4,1014.72,-12.27
0,13,28.4,1014.72,-12.27
0,13,28.4,1014.73,-12.34
0,13,28.4,1014.73,-12.38
0,13,28.4,1014.74,-12.38
0,13,28.4,1014.74,-12.38
0,13,28.4,1014.74,-12.4
0,13,28.4,1014.74,-12.33
0,13,28.4,1014.73,-12.33
0,13,28.4,1014.73,-12.29
0,13,28.4,1014.73,-12.3
0,13,28.4,1014.73,-12.3
0,13,28.4,1014.73,-12.32
0,13,28.4,1014.73,-12.26
0,13,28.4,1014.72,-12.26
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.35
0,14,28.4,1014.73,-12.35
0,14,28.4,1014.74,-12.37
0,14,28.4,1014.74,-12.39
0,14,28.4,1014.74,-12.39
0,14,28.4,1014.73,-12.35
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.23
0,14,28.4,1014.72,-12.23
0,14,28.4,1014.72,-12.27
0,14,28.4,1014.72,-12.28
0,14,28.4,1014.73,-12.28
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.74,-12.37
0,14,28.4,1014.74,-12.32
0,14,28.4,1014.73,-12.32
0,14,28.4,1014.74,-12.37
0,14,28.4,1014.74,-12.33
0,14,28.4,1014.73,-12.33
0,14,28.4,1014.73,-12.29
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.3
0,14,28.4,1014.73,-12.28
0,14,28.4,1014.73,-12.28
0,14,28.4,1014.73,-12.3
0,14,28.4,1014.73,-12.3
0,14,28.4,1014.73,-12.35
0,14,28.4,1014.74,-12.39
0,14,28.4,1014.74,-12.33
0,14,28.4,1014.73,-12.33
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.32
0,14,28.4,1014.73,-12.32
0,14,28.4,1014.73,-12.31
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.73,-12.34
0,14,28.4,1014.74,-12.38
0,14,28.4,1014.74,-12.33
0,14,28.41,1014.73,-12.33
0,14,28.41,1014.73,-12.32
0,14,28.41,1014.73,-12.39
0,14,28.41,1014.74,-12.37
0,15,28.41,1014.74,-12.37
0,15,28.41,1014.74,-12.36
0,15,28.41,1014.74,-12.33
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.28
0,15,28.41,1014.73,-12.24
0,15,28.41,1014.72,-12.24
0,15,28.41,1014.72,-12.25
0,15,28.41,1014.72,-12.31
0,15,28.41,1014.73,-12.31
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.28
0,15,28.41,1014.73,-12.28
0,15,28.41,1014.72,-12.27
0,15,28.41,1014.72,-12.26
0,15,28.41,1014.72,-12.26
0,15,28.41,1014.72,-12.23
0,15,28.41,1014.72,-12.32
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.3
0,15,28.41,1014.73,-12.3
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.28
0,15,28.41,1014.73,-12.28
0,15,28.4,1014.72,-12.26
0,15,28.4,1014.72,-12.25
0,15,28.41,1014.72,-12.25
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.34
0,15,28.41,1014.73,-12.39
0,15,28.41,1014.74,-12.39
0,15,28.41,1014.74,-12.38
0,15,28.41,1014.74,-12.37
0,15,28.41,1014.74,-12.37
0,15,28.41,1014.74,-12.36
0,15,28.41,1014.74,-12.33
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.3
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.33
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.32
0,15,28.41,1014.73,-12.32
0,16,28.41,1014.73,-12.27
0,16,28.41,1014.73,-12.21
0,16,28.41,1014.72,-12.21
0,16,28.41,1014.72,-12.25
0,16,28.41,1014.72,-12.24
0,16,28.41,1014.72,-12.24
0,16,28.41,1014.73,-12.29
0,16,28.41,1014.73,-12.27
0,16,28.41,1014.72,-12.27
0,16,28.41,1014.73,-12.29
0,16,28.41,1014.73,-12.33
0,16,28.41,1014.73,-12.33
0,16,28.41,1014.72,-12.27
0,16,28.41,1014.72,-12.27
0,16,28.41,1014.73,-12.24
0,16,28.41,1014.72,-12.24
0,16,28.41,1014.73,-12.3
0,16,28.41,1014.73,-12.3
0,16,28.41,1014.73,-12.28
0,16,28.41,1014.72,-12.26
0,16,28.41,1014.72,-12.26
0,16,28.41,1014.73,-12.29
0,16,28.41,1014.73,-12.3
0,16,28.41,1014.73,-12.31
0,16,28.41,1014.73,-12.31
0,16,28.41,1014.74,-12.36
0,16,28.41,1014.74,-12.36
0,16,28.41,1014.74,-12.38
0,16,28.41,1014.74,-12.33
0,16,28.41,1014.73,-12.33
0,16,28.41,1014.73,-12.29
0,16,28.41,1014.73,-12.3
0,16,28.41,1014.73,-12.3
0,16,28.42,1014.73,-12.29
0,16,28.42,1014.73,-12.31
0,16,28.42,1014.73,-12.31
0,16,28.42,1014.73,-12.31
0,16,28.42,1014.73,-12.35
0,16,28.42,1014.73,-12.36
