Minutes,Seconds, X (m/s^2),Y (m/s^2),Z (m/s^2),
0,1,1.92,12.97,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.94,-3.36,
0,1,1.92,13.94,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-3.84,
0,1,1.92,12.97,-3.84,
0,1,1.92,13.45,-2.4,
0,1,1.92,13.45,-2.4,
0,1,1.44,12.97,-2.88,
0,1,1.44,12.97,-2.88,
0,1,1.44,13.45,-2.88,
0,1,1.44,13.45,-2.88,
0,1,2.4,12.49,-3.36,
0,1,2.4,12.49,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,2.4,12.97,-3.36,
0,1,2.4,12.97,-3.36,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.44,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.94,-2.88,
0,1,1.92,13.94,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,2.4,13.45,-3.36,
0,1,2.4,13.45,-3.36,
0,1,2.4,13.45,-2.88,
0,1,2.4,13.45,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.92,12.97,-3.84,
0,1,1.92,12.97,-3.84,
0,1,2.4,13.45,-2.88,
0,1,2.4,13.45,-2.88,
0,1,2.4,13.45,-2.88,
0,1,2.4,13.45,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,13.45,-2.88,
0,1,1.44,13.45,-2.88,
0,1,1.44,13.45,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.44,14.42,-3.84,
0,1,1.44,14.42,-3.84,
0,1,1.44,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.44,12.97,-3.36,
0,1,1.92,12.97,-2.88,
0,1,1.92,12.97,-2.88,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.92,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.44,13.45,-3.36,
0,1,1.44,13.45,-3.36,
0,1,1.44,12.97,-2.88,
0,1,1.44,12.97,-2.88,
0,1,2.4,12.49,-3.84,
0,1,2.4,12.49,-3.84,
0,1,2.4,12.49,-3.84,
0,1,2.4,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,2.4,12.97,-3.36,
0,1,2.4,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,1.92,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,1.92,13.45,-2.88,
0,1,1.92,13.45,-2.88,
0,1,2.4,13.45,-3.84,
0,1,2.4,13.45,-3.84,
0,1,1.92,12.97,-3.36,
0,1,1.92,12.97,-3.36,
0,1,2.4,12.97,-3.36,
0,1,2.4,12.97,-3.36,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.92,13.45,-3.84,
0,1,1.44,13.45,-3.84,
0,1,1.44,13.45,-3.84,
0,1,1.92,13.94,-2.88,
0,1,1.92,13.94,-2.88,
0,1,2.4,12.01,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,12.97,-3.36,
0,2,2.4,12.01,-2.88,
0,2,1.92,12.97,-2.88,
0,2,1.92,12.97,-2.4,
0,2,1.92,13.45,-2.4,
0,2,1.92,13.45,-2.4,
0,2,1.92,13.45,-4.32,
0,2,1.92,13.45,-4.32,
0,2,2.4,12.97,-3.36,
0,2,2.4,12.97,-3.36,
0,2,1.92,12.49,-2.88,
0,2,1.92,12.49,-2.88,
0,2,1.92,12.97,-3.84,
0,2,1.92,12.97,-3.84,
0,2,1.92,12.97,-3.84,
0,2,2.4,13.45,-3.84,
0,2,2.4,13.45,-3.84,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.84,
0,2,1.92,13.45,-3.84,
0,2,1.92,12.97,-3.36,
0,2,1.92,12.97,-3.36,
0,2,1.92,12.97,-3.84,
0,2,1.92,13.45,-3.84,
0,2,1.92,13.45,-3.84,
0,2,2.4,12.97,-2.88,
0,2,2.4,12.97,-2.88,
0,2,2.4,13.45,-3.36,
0,2,2.4,13.45,-3.36,
0,2,1.92,13.45,-4.32,
0,2,1.92,13.45,-4.32,
0,2,1.92,13.45,-3.84,
0,2,2.4,13.45,-3.84,
0,2,2.4,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,2.4,12.97,-2.88,
0,2,2.4,12.97,-2.88,
0,2,1.92,12.97,-2.88,
0,2,1.92,12.97,-2.88,
0,2,1.92,12.97,-3.84,
0,2,2.4,13.94,-3.84,
0,2,2.4,13.94,-3.84,
0,2,2.4,12.97,-3.84,
0,2,2.4,12.97,-3.84,
0,2,1.92,12.97,-3.84,
0,2,1.92,12.97,-3.84,
0,2,1.92,12.97,-2.4,
0,2,1.92,12.97,-2.4,
0,2,2.4,12.97,-3.36,
0,2,2.4,12.97,-3.36,
0,2,2.4,12.97,-3.36,
0,2,1.92,12.97,-3.84,
0,2,1.92,12.97,-3.84,
0,2,1.92,13.45,-3.84,
0,2,1.92,13.45,-3.84,
0,2,1.44,13.45,-3.84,
0,2,1.44,13.45,-3.84,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.92,13.45,-3.36,
0,2,1.44,13.45,-3.36,
0,2,1.44,13.45,-3.36,
0,2,1.92,13.45,-2.88,
0,2,1.92,13.45,-2.88,
0,3,1.92,12.49,-2.4,
0,3,1.92,12.49,-2.4,
0,3,1.44,13.45,-2.88,
0,3,1.44,13.45,-2.88,
0,3,1.44,13.45,-2.88,
0,3,1.92,12.97,-2.88,
0,3,1.92,12.97,-2.88,
0,3,1.44,12.49,-3.36,
0,3,1.44,12.49,-3.36,
0,3,1.44,12.97,-3.36,
0,3,1.44,12.97,-3.36,
0,3,1.44,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.44,13.45,-3.36,
0,3,1.44,13.45,-3.36,
0,3,2.4,12.49,-3.36,
0,3,2.4,12.49,-3.36,
0,3,2.4,12.97,-3.84,
0,3,2.4,12.97,-3.84,
0,3,1.44,13.45,-3.36,
0,3,1.44,13.45,-3.36,
0,3,1.92,13.94,-3.36,
0,3,1.92,13.94,-3.36,
0,3,1.92,12.49,-3.36,
0,3,1.92,12.49,-3.36,
0,3,1.92,12.49,-2.88,
0,3,2.4,13.45,-2.88,
0,3,2.4,13.45,-2.88,
0,3,2.88,13.45,-3.36,
0,3,2.88,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,2.4,12.49,-2.88,
0,3,2.4,12.49,-2.88,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,14.42,-3.84,
0,3,1.92,14.42,-3.84,
0,3,1.44,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,0.96,13.94,-3.36,
0,3,0.96,13.94,-3.36,
0,3,1.92,13.94,-3.84,
0,3,1.92,13.94,-3.84,
0,3,1.92,13.94,-3.36,
0,3,1.92,13.94,-3.36,
0,3,1.92,12.97,-2.88,
0,3,1.92,12.97,-2.88,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.94,-3.84,
0,3,1.92,13.94,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,12.97,-4.32,
0,3,1.92,12.97,-4.32,
0,3,1.44,12.97,-2.88,
0,3,1.44,12.97,-2.88,
0,3,1.44,12.97,-2.88,
0,3,1.44,12.97,-2.88,
0,3,1.44,12.97,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,2.4,12.97,-3.84,
0,3,2.4,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.44,12.97,-3.36,
0,3,1.44,12.97,-3.36,
0,3,2.4,13.45,-3.84,
0,3,2.4,13.45,-3.84,
0,3,2.4,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,2.4,13.94,-3.36,
0,3,2.4,13.94,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.44,13.45,-2.88,
0,3,1.44,13.45,-2.88,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.44,13.94,-3.36,
0,3,1.44,13.94,-3.36,
0,3,1.44,13.94,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-2.88,
0,3,1.92,12.97,-2.88,
0,3,1.92,12.97,-3.36,
0,3,2.4,12.97,-3.36,
0,3,2.4,12.97,-3.36,
0,3,2.4,13.94,-3.36,
0,3,2.4,13.94,-3.36,
0,3,1.44,13.45,-3.36,
0,3,1.44,13.45,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-4.32,
0,3,2.4,12.97,-4.32,
0,3,2.4,12.97,-4.32,
0,3,0.96,13.45,-3.36,
0,3,0.96,13.45,-3.36,
0,3,1.44,12.97,-2.88,
0,3,1.44,12.97,-2.88,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.84,
0,3,1.92,12.97,-3.36,
0,3,1.44,12.97,-3.36,
0,3,1.44,12.97,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.94,-3.36,
0,3,1.92,13.94,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,2.4,12.97,-3.84,
0,3,2.4,12.97,-3.84,
0,3,2.4,13.94,-3.36,
0,3,1.92,13.94,-3.36,
0,3,1.92,13.94,-3.36,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,1.92,13.94,-2.88,
0,3,1.92,13.94,-2.88,
0,3,2.4,12.97,-3.36,
0,3,2.4,12.97,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.44,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,1.44,13.45,-3.84,
0,3,2.4,12.97,-3.84,
0,3,2.4,12.97,-3.84,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-3.84,
0,3,1.92,13.45,-3.84,
0,3,1.44,12.97,-3.36,
0,3,1.44,12.97,-3.36,
0,3,1.44,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,12.49,-2.88,
0,3,1.92,12.49,-2.88,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.94,-3.84,
0,3,1.92,13.94,-3.84,
0,3,2.4,12.97,-2.88,
0,3,2.4,12.97,-2.88,
0,3,2.4,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,2.4,13.45,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-3.36,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.92,13.45,-2.88,
0,3,1.44,13.45,-2.4,
0,3,1.44,13.45,-2.4,
0,3,1.44,13.94,-3.84,
0,3,1.44,13.94,-3.84,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-3.36,
0,3,1.92,12.97,-2.88,
0,3,1.92,12.97,-2.88,
0,4,1.92,12.97,-2.88,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-2.4,
0,4,1.92,13.45,-2.4,
0,4,2.4,12.97,-2.88,
0,4,2.4,12.97,-2.88,
0,4,1.92,12.97,-2.88,
0,4,1.92,12.97,-2.88,
0,4,1.92,12.97,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-2.4,
0,4,1.92,13.45,-2.4,
0,4,1.92,13.94,-3.84,
0,4,1.92,13.94,-3.84,
0,4,1.44,12.97,-3.36,
0,4,1.44,12.97,-3.36,
0,4,1.92,13.94,-3.36,
0,4,1.92,13.94,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.44,13.45,-4.32,
0,4,1.44,13.45,-4.32,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.44,13.45,-3.84,
0,4,1.44,13.45,-3.84,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.44,13.94,-3.36,
0,4,1.44,13.94,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.92,12.49,-3.84,
0,4,1.92,12.49,-3.84,
0,4,1.92,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.92,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.92,13.45,-4.32,
0,4,1.92,13.45,-4.32,
0,4,1.92,12.97,-2.88,
0,4,1.92,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,2.4,12.97,-2.88,
0,4,2.4,12.97,-2.88,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,13.94,-3.84,
0,4,1.92,13.94,-3.84,
0,4,1.92,13.94,-2.88,
0,4,1.44,13.94,-2.88,
0,4,1.44,13.94,-2.88,
0,4,2.4,12.49,-3.84,
0,4,2.4,12.49,-3.84,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.94,-2.4,
0,4,1.92,13.94,-2.4,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.44,13.94,-2.88,
0,4,1.44,13.94,-2.88,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.44,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,2.4,13.45,-3.36,
0,4,2.4,13.45,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,2.4,13.45,-2.88,
0,4,2.4,13.45,-2.88,
0,4,2.4,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,12.49,-3.84,
0,4,1.92,12.49,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.36,
0,4,2.4,12.97,-3.36,
0,4,2.4,12.97,-3.36,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.92,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,1.44,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,13.94,-3.84,
0,4,1.92,13.94,-3.84,
0,4,1.44,13.45,-3.84,
0,4,1.44,13.45,-3.84,
0,4,1.44,13.45,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.44,13.94,-3.84,
0,4,1.44,13.94,-3.84,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.49,-3.36,
0,4,1.92,12.97,-3.84,
0,4,1.92,12.97,-3.84,
0,4,1.92,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,2.4,12.49,-2.88,
0,4,2.4,12.49,-2.88,
0,4,1.44,13.45,-2.88,
0,4,1.44,13.45,-2.88,
0,4,1.92,13.94,-3.36,
0,4,1.92,13.94,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.44,12.97,-3.84,
0,4,1.44,12.97,-3.84,
0,4,1.44,13.94,-3.36,
0,4,1.44,13.94,-3.36,
0,4,1.44,13.94,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.92,12.97,-2.88,
0,4,1.92,12.97,-2.88,
0,4,1.44,12.49,-3.36,
0,4,1.44,12.49,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.36,
0,4,1.92,12.97,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.84,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,2.4,12.97,-3.84,
0,4,2.4,12.97,-3.84,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,13.45,-3.36,
0,4,1.44,12.97,-2.88,
0,4,1.44,12.97,-2.88,
0,4,1.92,13.45,-2.4,
0,4,1.92,13.45,-2.4,
0,4,1.92,13.45,-3.36,
0,4,1.92,13.45,-3.36,
0,4,1.44,13.94,-3.84,
0,4,1.44,13.94,-3.84,
0,5,1.44,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.92,12.49,-2.88,
0,5,1.92,12.49,-2.88,
0,5,1.92,12.97,-2.88,
0,5,1.92,12.97,-2.88,
0,5,1.92,12.97,-3.36,
0,5,1.92,12.97,-3.36,
0,5,1.92,13.45,-3.36,
0,5,1.44,13.45,-3.36,
0,5,1.44,13.45,-3.36,
0,5,1.92,12.97,-3.36,
0,5,1.92,12.97,-3.36,
0,5,2.4,12.97,-3.84,
0,5,2.4,12.97,-3.84,
